,DAT,PRICE_ZONE_CODE,CONSUMER_VOLUME,CONSUMER_PRICE,CONSUMER_RD_VOLUME,CONSUMER_SPOT_VOLUME,CONSUMER_PROVIDE_RD,CONSUMER_MAX_PRICE,CONSUMER_MIN_PRICE,SUPPLIER_VOLUME,SUPPLIER_PRICE,SUPPLIER_RD_VOLUME,SUPPLIER_SPOT_VOLUME,SUPPLIER_PROVIDE_RD,SUPPLIER_MAX_PRICE,SUPPLIER_MIN_PRICE,HOUR
0,19.09.2016,1,73954.497,1029.24,10145.049,60165.227,49.311,1225.1,737.18,76134.495,991.66,10449.386,60808.743,642.435,1225.09,737.18,0
1,19.09.2016,1,72122.693,982.04,10145.049,58287.971,74.293,1125.53,691.93,74211.724,946.91,10449.386,58878.49,635.953,1117.09,691.93,1
2,19.09.2016,1,71216.311,937.43,10145.049,57337.375,98.431,1059.01,680.7,73298.709,904.91,10449.386,57984.467,646.835,1043.65,680.7,2
3,19.09.2016,1,71026.094,933.02,10145.049,57145.5,104.811,1055.91,693.08,73152.211,900.52,10449.386,57843.719,646.835,1032.8,693.08,3
4,19.09.2016,1,72065.754,979.53,10145.049,58200.76,104.945,1110.05,706.2,74317.436,945.77,10449.386,59013.591,645.392,1091.28,706.2,4
5,19.09.2016,1,74011.07,1026.4,10145.049,60207.841,122.252,1590.19,692.65,76376.831,988.72,10449.386,61050.048,629.554,1590.19,692.65,5
6,19.09.2016,1,76602.472,1188.88,10145.049,62812.382,92.299,1596.19,771.08,79040.927,1144.06,10449.386,63642.572,613.942,1596.19,771.08,6
7,19.09.2016,1,81399.66,1392.81,15744.562,62219.103,405.237,1731.88,922.12,83872.51,1335.82,16216.895,62835.726,796.682,1693.37,922.12,7
8,19.09.2016,1,85690.284,1441.15,16130.736,66129.899,327.072,2014.75,873.04,88321.004,1374.71,16614.64,66977.619,897.144,2014.74,873.04,8
9,19.09.2016,1,87938.725,1459.8,16130.736,68347.873,247.239,2015.63,905.66,90611.632,1391.53,16614.64,69259.119,902.996,2015.63,905.66,9
10,19.09.2016,1,88269.19,1467,16130.736,68657.028,217.377,2016.1,911.14,90946.588,1397.11,16614.64,69580.118,902.996,2016.08,911.14,10
11,19.09.2016,1,87698.005,1487.96,16130.736,68069.921,218.677,1848.1,903.39,90417.535,1427.27,16614.64,69043.454,913.205,1845.95,903.39,11
12,19.09.2016,1,87238.44,1493.96,16130.736,67603.004,233.195,1836.16,903.09,89947.755,1432.52,16614.64,68542.674,913.205,1756,903.09,12
13,19.09.2016,1,87451.96,1496.64,16130.736,67841.362,230.091,1852.06,894.82,90230.938,1434.4,16614.64,68831.657,913.205,1756.5,894.82,13
14,19.09.2016,1,87202.303,1493.48,16130.736,67605.156,224.702,1850.34,913.44,89990.365,1431.69,16614.64,68640.398,930.819,1757.77,913.44,14
15,19.09.2016,1,87310.925,1495.14,15744.562,68110.941,217.086,1858.3,919.72,90151.967,1434.4,16216.895,69059.816,773.228,1757.19,919.72,15
16,19.09.2016,1,86944.638,1489.73,15744.562,67678.202,216.394,1826.27,904.52,89792.495,1430.82,16216.895,68692.989,773.435,1759.01,904.52,16
17,19.09.2016,1,86904.561,1484.56,15744.562,67557.31,176.693,1819.19,882.3,89676.836,1426.58,16216.895,68553.7,773.435,1757.97,882.3,17
18,19.09.2016,1,88716.9,1480.85,15744.562,69339.036,75.401,1833.26,864.89,91507.269,1420.21,16216.895,70348.037,752.489,1800.37,864.89,18
19,19.09.2016,1,90498.265,1494.86,15744.562,71205.76,47.379,1909.55,923.93,93333.187,1430.57,16216.895,72169.855,752.489,1872.24,923.93,19
20,19.09.2016,1,89243.832,1460.79,16130.736,69534.724,61.457,2025.21,898.12,91968.331,1389.32,16614.64,70564.576,875.261,2015.87,898.12,20
21,19.09.2016,1,86686.153,1429.83,16130.736,66967.981,72.263,2095.7,850.65,89266.167,1355.98,16614.64,67925.402,882.851,2013.99,844.06,21
22,19.09.2016,1,81934.59,1368,15744.562,62571.036,141.34,2079.75,820.06,84395.883,1297.4,16216.895,63487.769,896.457,2011.75,811.18,22
23,19.09.2016,1,78065.467,1222.98,10145.049,64312.104,27.53,1637.65,800,80428.478,1165.86,10449.386,65037.984,612.848,1596.69,790.08,23
0,19.09.2016,2,18430.77,363.02,2025.43,16256.38,9.86,952.36,0,19572.747,300.91,2086.194,16922.844,190.091,821.49,0,0
1,19.09.2016,2,18732.331,371.25,2025.43,16537.009,9.412,928.77,47.56,19825.62,313.73,2086.194,17175.717,190.091,834.55,43.47,1
2,19.09.2016,2,19290.914,381.01,2025.43,17088.135,.053,902.14,47.36,20297.541,324.45,2086.194,17647.638,190.091,835.64,43.05,2
3,19.09.2016,2,19927.529,507.55,2025.43,17769.56,.044,995.2,51.84,20929.888,390.84,2086.194,18279.985,190.091,983,51.84,3
4,19.09.2016,2,20223.024,545.15,2881.186,17253.526,7.051,1020.96,51.67,21199.919,422.03,2967.623,17741.16,259.664,983,51.03,4
5,19.09.2016,2,20633.84,575.76,2881.186,17675.654,7.561,1264.08,51.65,21564.049,448.4,2967.623,18101.29,259.664,1218.97,50.22,5
6,19.09.2016,2,20804.293,631.04,2881.186,17867.207,6.009,1254.32,51.65,21804.661,477.6,2967.623,18341.902,259.664,1218.61,48.28,6
7,19.09.2016,2,20858.073,580.67,2881.186,17837.987,5.995,1321.67,40.69,21844.76,470.49,2967.623,18382.001,259.664,1284.41,33.65,7
8,19.09.2016,2,20552.951,675.38,2881.186,17514.879,7.676,1284.62,39.88,21475.154,548.26,2967.623,18012.395,259.664,1254.53,49.15,8
9,19.09.2016,2,20605.227,676.31,2881.186,17558.16,8.706,1279.53,41.53,21512.018,534.39,2967.623,18050.759,259.664,1251.31,0,9
10,19.09.2016,2,20588.364,674.05,2881.186,17541.182,9.116,1278.13,41.6,21495.682,532.51,2967.623,18035.423,259.664,1243.07,0,10
